gov,year,pop
jenin,1997,203026
tubas,1997,36609
tulkarm,1997,134110
nablus,1997,261340
qalqiliya,1997,72007
salfit,1997,48538
ramallahbireh,1997,213582
jericho,1997,32713
jerusalem,1997,328601
bethlehem,1997,137286
hebron,1997,405664
northgaza,1997,183373
gaza,1997,367388
deirbalah,1997,147877
khanyunis,1997,200704
rafah,1997,122865
jenin,2007,256619
tubas,2007,50261
tulkarm,2007,157988
nablus,2007,320830
qalqiliya,2007,91217
salfit,2007,59570
ramallahbireh,2007,279730
jericho,2007,42320
jerusalem,2007,363649
bethlehem,2007,176235
hebron,2007,552164
northgaza,2007,270494
gaza,2007,496692
deirbalah,2007,205414
khanyunis,2007,270828
rafah,2007,173539
jenin,2017,326934
tubas,2017,68526
tulkarm,2017,189948
nablus,2017,399065
qalqiliya,2017,116414
salfit,2017,74086
ramallahbireh,2017,366920
jericho,2017,54901
jerusalem,2017,437199
bethlehem,2017,227348
hebron,2017,747428
northgaza,2017,389608
gaza,2017,666559
deirbalah,2017,282430
khanyunis,2017,363583
rafah,2017,241218
